aX,aY,aZ
-0.954,-0.436,0.65
-0.943,-0.46,0.65
-0.914,-0.47,0.686
-0.863,-0.47,0.719
-0.811,-0.463,0.742
-0.811,-0.473,0.769
-0.771,-0.479,0.796
-0.718,-0.479,0.805
-0.664,-0.47,0.805
-0.625,-0.477,0.804
-0.592,-0.503,0.79
-0.558,-0.527,0.772
-0.519,-0.517,0.783
-0.519,-0.498,0.819
-0.485,-0.498,0.874
-0.453,-0.5,0.895
-0.435,-0.542,0.77
-0.441,-0.577,0.874
-0.456,-0.567,0.861
-0.468,-0.529,0.849
-0.468,-0.484,0.84
-0.469,-0.455,0.832
-0.467,-0.455,0.81
-0.47,-0.427,0.818
-0.481,-0.399,0.818
-0.492,-0.399,0.841
-0.496,-0.401,0.841
-0.496,-0.355,0.839
-0.493,-0.299,0.849
-0.493,-0.299,0.869
-0.503,-0.263,0.876
-0.523,-0.241,0.876
-0.581,-0.254,0.883
-0.622,-0.253,0.882
-0.633,-0.241,0.877
-0.633,-0.251,0.894
-0.653,-0.27,0.901
-0.669,-0.27,0.889
-0.686,-0.294,0.889
-0.694,-0.287,0.883
-0.71,-0.297,0.878
-0.723,-0.343,0.862
-0.723,-0.368,0.834
-0.719,-0.344,0.817
-0.706,-0.344,0.811
-0.707,-0.336,0.809
-0.693,-0.337,0.809
-0.659,-0.317,0.812
-0.645,-0.335,0.821
-0.629,-0.354,0.844
-0.629,-0.346,0.875
-0.604,-0.317,0.903
-0.57,-0.317,0.914
-0.528,-0.303,0.915
-0.495,-0.329,0.915
-0.473,-0.36,0.919
-0.459,-0.379,0.926
-0.459,-0.365,0.929
-0.444,-0.342,0.916
-0.433,-0.342,0.888
-0.434,-0.349,0.858
-0.44,-0.365,0.858
-0.448,-0.364,0.835
-0.452,-0.351,0.811
-0.451,-0.352,0.788
-0.451,-0.358,0.779
-0.45,-0.352,0.779
-0.454,-0.352,0.785
-0.456,-0.334,0.785
-0.455,-0.316,0.803
-0.461,-0.32,0.827
-0.464,-0.329,0.849
-0.464,-0.335,0.868
-0.459,-0.35,0.884
-0.452,-0.475,0.895
-0.443,-0.377,0.9
-0.431,-0.395,0.9
-0.416,-0.395,0.898
-0.394,-0.383,0.893
-0.37,-0.366,0.891
-0.37,-0.356,0.89
-0.347,-0.369,0.883
-0.337,-0.369,0.869
-0.354,-0.402,0.857
-0.377,-0.416,0.857
-0.399,-0.426,0.855
-0.424,-0.428,0.856
-0.424,-0.386,0.862
-0.437,-0.328,0.88
-0.438,-0.328,0.901
-0.435,-0.289,0.917
-0.439,-0.264,0.917
-0.438,-0.236,0.927
-0.434,-0.213,0.928
-0.444,-0.207,0.921
-0.444,-0.214,0.913
-0.46,-0.227,0.903
-0.477,-0.227,0.894
-0.495,-0.234,0.894
-0.512,-0.239,0.888
-0.527,-0.248,0.882
-0.534,-0.248,0.88
-0.534,-0.241,0.884
-0.533,-0.239,0.888
-0.524,-0.239,0.895
-0.515,-0.237,0.905
-0.508,-0.229,0.905
-0.5,-0.228,0.912
-0.496,-0.235,0.918
-0.501,-0.241,0.924
-0.501,-0.25,0.928
-0.506,-0.258,0.929
-0.504,-0.258,0.926
-0.496,-0.258,0.921
-0.486,-0.257,0.921
-0.475,-0.256,0.917
-0.464,-0.257,0.911
-0.452,-0.257,0.907
-0.452,-0.254,0.906
-1.09,-0.378,0.646
-1.184,-0.531,0.821
-1.175,-0.532,1.049
-1.102,-0.434,1.272
-1.102,-0.256,1.455
-1.027,-0.087,1.574
-0.939,-0.087,1.613
-0.82,-0.004,1.608
-0.7,0.031,1.608
-0.596,0.051,1.584
-0.492,0.062,1.555
-0.492,0.055,1.529
-0.377,0.032,1.489
-0.277,0.032,1.444
-0.196,0.009,1.373
-0.152,-0.023,1.373
-0.137,-0.084,1.273
-0.126,-0.158,1.179
-0.138,-0.21,1.095
-0.138,-0.245,1.017
-0.161,-0.27,0.944
-0.201,-0.27,0.871
-0.256,-0.299,0.871
-0.307,-0.327,0.8
-0.34,-0.348,0.748
-0.368,-0.353,0.714
-0.493,-0.347,0.699
-0.407,-0.337,0.696
-0.439,-0.337,0.701
-0.448,-0.328,0.703
-0.443,-0.317,0.703
-0.415,-0.297,0.709
-0.367,-0.258,0.71
-0.32,-0.202,0.709
-0.32,-0.151,0.695
-0.283,-0.118,0.65
-0.268,-0.118,0.588
-0.258,-0.11,0.588
-0.234,-0.109,0.553
-0.212,-0.123,0.525
-0.184,-0.158,0.51
-0.184,-0.139,0.547
-0.138,-0.043,0.663
-0.089,-0.043,0.835
-0.054,0.068,1.049
-0.02,0.183,1.049
0,0.275,1.253
-0.017,0.294,1.364
-0.065,0.243,1.358
-0.065,0.149,1.252
-0.109,0.149,1.288
-0.048,0.092,1.713
0.162,0.167,2.462
0.416,0.301,2.384
0.485,0.316,2.707
0.291,0.207,2.43
0.041,0.11,1.932
0.043,0.095,1.569
-0.077,0.095,1.415
-0.071,0.129,1.374
-0.02,0.179,1.374
0.025,0.213,1.353
0.048,0.22,1.335
