aX,aY,aZ
-1.005,-0.56,0.543
-1.037,-0.512,0.585
-1.057,-0.442,0.585
-1.058,-0.365,0.63
-1.043,-0.324,0.659
-1.014,-0.331,0.667
-1.014,-0.36,0.67
-0.98,-0.381,0.668
-0.956,-0.381,0.661
-0.936,-0.39,0.661
-0.919,-0.384,0.647
-0.909,-0.362,0.636
-0.902,-0.337,0.637
-0.902,-0.319,0.653
-0.902,-0.314,0.665
-0.899,-0.314,0.682
-0.898,-0.298,0.718
-0.894,-0.278,0.718
-0.885,-0.276,0.738
-0.881,-0.272,0.737
-0.887,-0.26,0.74
-0.887,-0.26,0.735
-0.895,-0.26,0.719
-0.901,-0.263,0.719
-0.913,-0.267,0.719
-0.922,-0.268,0.739
-0.932,-0.255,0.768
-0.945,-0.248,0.788
-0.945,-0.241,0.793
-0.954,-0.241,0.773
-0.959,-0.241,0.745
-0.946,-0.267,0.741
-0.922,-0.294,0.741
-0.915,-0.281,0.724
-0.875,-0.238,0.694
-0.799,-0.217,0.665
-0.799,-0.229,0.649
-0.751,-0.26,0.661
-0.723,-0.26,0.684
-0.711,-0.283,0.684
-0.729,-0.278,0.712
-0.76,-0.266,0.727
-0.813,-0.307,0.711
-0.938,-0.415,0.66
-0.904,-0.47,0.612
-0.977,-0.47,0.59
-0.989,-0.427,0.586
-0.939,-0.361,0.586
-0.862,-0.344,0.6
-0.797,-0.367,0.621
-0.742,-0.397,0.647
-0.742,-0.43,0.688
-0.689,-0.43,0.738
-0.649,-0.449,0.796
-0.608,-0.454,0.796
-0.597,-0.431,0.844
-0.629,-0.398,0.855
-0.634,-0.401,0.876
-0.634,-0.399,0.891
-0.631,-0.39,0.873
-0.65,-0.39,0.844
-0.666,-0.387,0.82
-0.674,-0.385,0.82
-0.675,-0.386,0.821
-0.685,-0.372,0.816
-0.714,-0.352,0.786
-0.714,-0.343,0.752
-0.743,-0.343,0.728
-0.765,-0.34,0.693
-0.791,-0.339,0.569
-0.834,-0.343,0.614
-0.867,-0.342,0.557
-0.864,-0.34,0.568
-0.864,-0.346,0.597
-0.85,-0.358,0.628
-0.839,-0.358,0.648
-0.832,-0.365,0.663
-0.829,-0.358,0.663
-0.822,-0.346,0.674
-0.805,-0.333,0.679
-0.78,-0.323,0.693
-0.78,-0.315,0.714
-0.749,-0.315,0.738
-0.724,-0.313,0.755
-0.706,-0.319,0.755
-0.688,-0.327,0.762
-0.669,-0.322,0.77
-0.654,-0.318,0.761
-0.654,-0.321,0.736
-0.643,-0.322,0.716
-0.63,-0.322,0.706
-0.611,-0.329,0.705
-0.59,-0.338,0.705
-0.573,-0.343,0.715
-0.556,-0.35,0.724
-0.542,-0.358,0.728
-0.542,-0.361,0.73
-0.531,-0.361,0.732
-0.528,-0.357,0.731
-0.526,-0.354,0.731
-0.521,-0.353,0.726
-0.52,-0.351,0.73
-0.526,-0.35,0.737
-0.526,-0.353,0.738
-0.535,-0.36,0.737
-0.549,-0.36,0.739
-0.562,-0.365,0.739
-0.572,-0.37,0.739
-0.578,-0.379,0.737
-0.584,-0.385,0.732
-0.589,-0.384,0.733
-0.589,-0.383,0.732
-0.587,-0.383,0.722
-0.58,-0.384,0.714
-0.573,-0.384,0.714
-0.564,-0.375,0.715
-0.546,-0.37,0.718
-0.524,-0.376,0.719
0.113,-0.788,1.007
0.11,-0.782,1.031
0.11,-0.778,1.051
0.106,-0.779,1.073
0.104,-0.779,1.098
0.106,-0.777,1.117
0.113,-0.778,1.117
0.12,-0.784,1.129
0.127,-0.806,1.125
0.139,-0.834,1.115
0.139,-0.847,1.118
0.146,-0.847,1.127
0.149,-0.853,1.14
0.145,-0.849,1.14
0.141,-0.844,1.148
0.138,-0.843,1.152
0.13,-0.835,1.155
0.005,-0.826,1.154
0.117,-0.82,1.151
0.103,-0.82,1.141
0.088,-0.821,1.129
0.07,-0.825,1.129
0.052,-0.824,1.118
0.037,-0.813,1.11
0.019,-0.797,1.108
0.019,-0.787,1.103
0.001,-0.787,1.092
-0.012,-0.784,1.08
-0.024,-0.781,1.08
-0.041,-0.773,1.066
-0.053,-0.765,1.057
-0.067,-0.758,1.05
-0.067,-0.753,1.046
-0.083,-0.748,1.043
-0.096,-0.748,1.037
-0.113,-0.744,1.031
-0.129,-0.743,1.031
-0.138,-0.75,1.025
-0.143,-0.755,1.017
-0.143,-0.756,1.011
-0.148,-0.76,1.022
-0.144,-0.635,1.042
-0.133,-0.749,1.055
-0.128,-0.728,1.055
-0.123,-0.711,1.067
-0.122,-0.7,1.075
-0.133,-0.699,1.067
-0.133,-0.704,1.051
-0.149,-0.697,1.034
-0.166,-0.697,1.049
-0.169,-0.606,1.049
-0.155,-0.59,1.068
-0.136,-0.698,1.054
-0.131,-0.708,1.042
-0.14,-0.697,1.033
-0.14,-0.729,1.027
-0.148,-0.729,1.034
-0.153,-0.735,1.041
-0.153,-0.729,1.041
-0.145,-0.712,1.051
-0.124,-0.669,1.054
-0.066,-0.624,1.084
-0.066,-0.635,1.112
-0.018,-0.635,1.089
-0.014,-0.637,1.071
-0.019,-0.613,1.065
-0.03,-0.607,1.065
-0.052,-0.601,1.039
-0.081,-0.606,1.013
-0.081,-0.612,1.001
-0.106,-0.611,0.997
-0.121,-0.611,0.995
-0.127,-0.606,0.995
-0.121,-0.591,0.995
-0.109,-0.571,1.002
-0.093,-0.549,1.006
-0.074,-0.531,1.001
-0.074,-0.52,0.996
-0.063,-0.52,0.992
-0.061,-0.507,0.986
-0.066,-0.49,0.986
-0.076,-0.475,0.98
-0.084,-0.457,0.971
-0.091,-0.433,0.961
-0.091,-0.408,0.951
-0.094,-0.386,0.938
-0.094,-0.386,0.93
-0.093,-0.364,0.923
-0.093,-0.34,0.923
-0.093,-0.316,0.915
-0.093,-0.298,0.907
-0.096,-0.283,0.903
-0.096,-0.269,0.899
-0.098,-0.269,0.893
-0.097,-0.255,0.891
-0.094,-0.245,0.891
-0.091,-0.241,0.891
-0.083,-0.237,0.89
-0.071,-0.231,0.886
-0.071,-0.228,0.877
-0.059,-0.228,0.868
-0.046,-0.231,0.861
-0.03,-0.235,0.855
-0.018,-0.237,0.855
-0.003,-0.24,0.846
0.015,-0.234,0.837
0.015,-0.222,0.83
0.026,-0.208,0.824
0.032,-0.208,0.815
0.041,-0.192,0.809
